Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
138095,Humanities,Graduate,2.13,10.47,Ideation,Beginner,3,False,15.45,5,Strict_Ban,2,2.277,64.47,High
140625,Humanities,Senior,2.747,3.18,Direct_Answer_Generation,Beginner,1,False,21.69,3,Allowed_With_Citation,1,3.09,97.33,Medium
149426,Business,Senior,3.54,6.7,Ideation,Advanced,4,True,13.93,3,Strict_Ban,1,3.929,87.14,High
135735,Arts,Senior,3.751,4.05,Debugging/Troubleshooting,Advanced,5,False,16.82,1,Strict_Ban,2,4.0,100.0,Low
141709,STEM,Freshman,3.044,12.19,Ideation,Beginner,3,False,19.2,5,Allowed_With_Citation,5,3.081,72.74,Medium
131177,Humanities,Freshman,3.841,4.47,Copywriting/Drafting,Advanced,3,True,8.12,4,Strict_Ban,4,4.0,80.27,Medium
134749,Medical,Junior,3.767,5.31,Summarizing_Reading,Beginner,2,False,6.18,3,Actively_Encouraged,7,3.862,73.08,Low
124361,Arts,Senior,3.394,6.67,Copywriting/Drafting,Beginner,2,True,13.77,3,Strict_Ban,2,3.635,71.19,Low
141277,Arts,Senior,2.909,0.77,Copywriting/Drafting,Advanced,5,False,12.31,2,Actively_Encouraged,1,3.288,71.6,High
128249,Business,Senior,3.131,1.65,Direct_Answer_Generation,Advanced,5,False,11.64,2,Strict_Ban,3,3.446,86.51,Medium
106290,Humanities,Graduate,3.35,5.68,Copywriting/Drafting,Intermediate,2,True,15.31,2,Actively_Encouraged,4,3.863,90.78,Medium
100675,Humanities,Freshman,2.784,17.34,Copywriting/Drafting,Advanced,4,True,20.07,8,Allowed_With_Citation,9,2.868,90.37,Medium
104340,STEM,Senior,3.662,1.03,Debugging/Troubleshooting,Beginner,2,True,16.09,1,Actively_Encouraged,3,3.565,84.65,Low
120491,Medical,Graduate,1.998,0.99,Summarizing_Reading,Intermediate,1,True,20.36,2,Strict_Ban,3,2.477,79.41,Medium
